Data,IBOV,ICON,IEEX,IFNC,IGCX,IMAT,INDX,UTIL
2007-06-13,52993.00,1145.43,17338.00,3445.03,6204.00,1848.46,9093.00,1665.81
2007-06-14,53712.00,1161.05,17398.00,3489.86,6285.00,1873.84,9198.00,1680.48
2007-06-15,54518.00,1175.00,17645.00,3555.69,6389.00,1897.18,9313.00,1710.43
2007-06-18,54730.00,1173.09,17674.00,3550.90,6418.00,1900.83,9294.00,1721.12
2007-06-19,54643.00,1169.90,17645.00,3560.35,6362.00,1884.48,9256.00,1725.89
2007-06-20,54029.00,1151.95,17564.00,3528.71,6329.00,1869.71,9153.00,1729.96
2007-06-21,54656.00,1149.94,17868.00,3551.24,6385.00,1903.33,9238.00,1753.00
2007-06-22,54267.00,1148.04,17661.00,3538.79,6354.00,1884.17,9158.00,1732.95
2007-06-25,54041.00,1145.31,17528.00,3524.28,6312.00,1877.93,9131.00,1718.14
2007-06-26,53851.00,1145.89,17512.00,3487.96,6277.00,1868.49,9136.00,1716.87
2007-06-27,54143.00,1157.88,17497.00,3490.90,6298.00,1880.67,9163.00,1708.66
2007-06-28,54146.00,1165.24,17661.00,3487.04,6301.00,1877.09,9187.00,1718.41
2007-06-29,54392.00,1164.83,17756.00,3504.67,6342.00,1891.07,9240.00,1734.30
2007-07-02,55371.00,1175.15,18097.00,3531.71,6446.00,1927.69,9343.00,1770.08
2007-07-03,55699.00,1183.39,17954.00,3564.67,6478.00,1939.15,9405.00,1754.52
2007-07-04,55696.00,1181.57,17955.00,3546.42,6485.00,1940.39,9405.00,1755.48
2007-07-05,55932.00,1186.05,17974.00,3548.92,6505.00,1945.07,9423.00,1758.27
2007-07-06,56443.00,1192.43,18109.00,3559.92,6550.00,1957.26,9480.00,1771.07
2007-07-10,55882.00,1182.30,17876.00,3533.82,6518.00,1943.93,9416.00,1750.64
2007-07-11,56356.00,1183.67,18055.00,3599.96,6587.00,1964.50,9475.00,1767.72
2007-07-12,57613.00,1191.80,18323.00,3750.15,6750.00,2006.63,9554.00,1797.01
2007-07-13,57644.00,1206.52,18260.00,3725.65,6736.00,2000.04,9548.00,1784.81
2007-07-16,57374.00,1210.42,18106.00,3790.41,6731.00,1981.58,9476.00,1768.20
2007-07-17,57659.00,1213.72,18185.00,3809.74,6762.00,1988.42,9513.00,1774.27
2007-07-18,57555.00,1213.88,18190.00,3828.35,6758.00,1987.98,9493.00,1768.89
2007-07-19,58124.00,1225.42,18199.00,3863.84,6837.00,2016.26,9644.00,1776.41
2007-07-20,57442.00,1216.04,18085.00,3790.11,6766.00,2003.85,9608.00,1759.01
2007-07-23,58036.00,1229.97,17984.00,3842.10,6826.00,2030.65,9655.00,1756.45
2007-07-24,55794.00,1182.67,17431.00,3686.72,6600.00,1961.39,9351.00,1686.47
2007-07-25,56001.00,1175.35,17592.00,3659.28,6569.00,1976.17,9412.00,1709.15
2007-07-26,53893.00,1131.18,16863.00,3572.87,6356.00,1904.66,9067.00,1640.25
2007-07-27,52922.00,1131.71,16786.00,3471.56,6262.00,1868.05,8979.00,1627.45
2007-07-30,54572.00,1148.26,17124.00,3573.58,6389.00,1934.20,9160.00,1661.45
2007-07-31,54182.00,1130.06,17052.00,3563.82,6373.00,1940.20,9085.00,1650.84
2007-08-01,54233.00,1131.25,17047.00,3552.93,6343.00,1947.09,9077.00,1646.66
2007-08-02,54690.00,1136.56,17017.00,3595.11,6396.00,1956.97,9114.00,1655.99
2007-08-03,52846.00,1103.59,16523.00,3519.40,6240.00,1894.23,8926.00,1616.22
2007-08-06,53091.00,1106.50,16772.00,3514.64,6259.00,1883.14,8941.00,1636.21
2007-08-07,53802.00,1124.33,17060.00,3496.94,6360.00,1931.38,9174.00,1649.13
2007-08-08,55241.00,1156.39,17513.00,3559.05,6494.00,1970.64,9380.00,1695.90
2007-08-09,53430.00,1119.69,16983.00,3499.58,6337.00,1909.17,9115.00,1634.50
2007-08-10,52638.00,1114.55,16680.00,3506.29,6260.00,1864.26,8969.00,1614.21
2007-08-13,52434.00,1108.91,16645.00,3457.35,6221.00,1849.66,8958.00,1610.62
2007-08-14,50911.00,1073.77,16130.00,3395.76,6041.00,1795.99,8774.00,1542.27
2007-08-15,49285.00,1026.37,15588.00,3263.04,5787.00,1728.97,8411.00,1497.51
2007-08-16,48015.00,986.79,14816.00,3170.10,5614.00,1685.82,8148.00,1449.51
2007-08-17,48558.00,1002.88,15371.00,3220.28,5732.00,1706.51,8265.00,1493.02
2007-08-20,49206.00,1020.08,15782.00,3315.14,5805.00,1732.50,8409.00,1551.39
2007-08-21,49815.00,1032.20,16046.00,3346.34,5856.00,1761.79,8484.00,1578.56
2007-08-22,51744.00,1061.03,16559.00,3455.75,6054.00,1845.25,8753.00,1613.62
2007-08-23,51848.00,1066.35,16405.00,3431.55,6058.00,1851.15,8740.00,1598.26
